price,brand,model,year,title_status,mileage,color,vin,lot,state,country
50,chevrolet,door,2008,salvage insurance,172102.0,blue,1g1al58f787159241,167650632,texas,usa
720,ford,wagon,2006,clean vehicle,26914.0,no_color,1fafp36n06w137851,167660576,florida,usa
22800,ford,door,2017,clean vehicle,67217.0,red,1ftew1ep3hfb25518,167765330,michigan,usa
2500,ford,door,2017,salvage insurance,78698.0,black,1fmcu9gd2huc27625,167359161,california,usa
0,ford,door,2003,salvage insurance,246065.0,gold,1fafp55u03a242094,167610324,kansas,usa
9190,gmc,mpv,2017,clean vehicle,41961.0,black,1gkknxls3hz174527,167703306,virginia,usa
10900,jeep,mpv,2019,clean vehicle,13273.0,red,1c4hjxeg1kw609998,167264249,michigan,usa
10400,infiniti,mpv,2019,clean vehicle,31713.0,black,5n1dl0mm1kc552741,167698670,florida,usa
0,chevrolet,door,2004,salvage insurance,0.0,maroon,3gnek12t74g240524,167418651,wyoming,usa
0,chevrolet,door,2003,salvage insurance,194673.0,gray,1gndt13s632267445,167650636,texas,usa
7320,chevrolet,pickup,2008,clean vehicle,325611.0,silver,1gchk23648f125262,167660581,florida,usa
22809,ford,f-150,2017,clean vehicle,50732.0,black,1ftfx1ef5hke41700,167765332,michigan,usa
0,ford,van,1998,salvage insurance,186855.0,blue,2fmda5143wba16791,167359170,california,usa
0,ford,door,2013,salvage insurance,94004.0,black,3fa6p0h74dr270819,167610728,minnesota,usa
5520,gmc,mpv,2017,clean vehicle,52904.0,silver,2gkfltek8h6226257,167703312,virginia,usa
10900,jeep,mpv,2019,clean vehicle,14195.0,orange,1c4hjxeg1kw608401,167264250,michigan,usa
6330,jeep,mpv,2019,clean vehicle,43965.0,red,1c4pjldbxkd300679,167698671,florida,usa
0,chevrolet,door,2009,salvage insurance,117059.0,black,kl1td66e39b645208,167418694,colorado,usa
25,chevrolet,pickup,2010,salvage insurance,149189.0,white,3gcrkse37ag234620,167650663,colorado,usa
2320,dodge,door,2007,clean vehicle,112182.0,red,2b3ka43g67h630568,167660582,florida,usa
23702,ford,door,2017,clean vehicle,49024.0,black,1ftew1ep4hkc08477,167765335,michigan,usa
0,ford,chassis,1994,salvage insurance,0.0,green,1fdee14n7rha47894,167359174,california,usa
0,ford,door,1997,salvage insurance,203297.0,green,1fmdu35p7vub38059,167610731,minnesota,usa
5520,gmc,mpv,2017,clean vehicle,35821.0,silver,2gkfltek8h6338184,167703317,virginia,usa
4050,heartland,pioneer,2018,clean vehicle,1.0,gray,5sfpb3326je365727,167265963,pennsylvania,usa
14810,infiniti,mpv,2019,clean vehicle,32611.0,brown,jn8az2ne0k9233910,167698673,florida,usa
25,chevrolet,door,2011,salvage insurance,105244.0,white,1gccsbf97b8118236,167650664,colorado,usa
2960,chrysler,van,2008,clean vehicle,164048.0,red,2a8hr54px8r787529,167660587,florida,usa
24800,ford,door,2017,clean vehicle,46955.0,gray,1ftew1ef3hfc22483,167765337,michigan,usa
0,ford,door,1996,salvage insurance,296860.0,green,1falp62w5th144314,167359712,california,usa
0,ford,door,2006,salvage insurance,203158.0,red,1fmzk04136ga07119,167610991,illinois,usa
6270,gmc,mpv,2017,clean vehicle,70443.0,black,2gkfluek3h6232330,167703322,virginia,usa
1880,heartland,trail,2012,clean vehicle,1.0,white,5sfnb2425ce237109,167266201,pennsylvania,usa
10050,infiniti,mpv,2019,clean vehicle,18229.0,gray,5n1dl0mm3kc557634,167698674,florida,usa
